;BEL1;BEL2;DE;NL1;NL3;NL2
BEL1;0;0;0;0;0;0
BEL2;0;0;0;0;0;0
DE;0;0;0;0;0;0
NL1;0;0;0;0;0;0
NL3;0;0;0;0;0;0
NL2;0;0;0;0;0;0
