country,mean,max,hours_gt_300,hours_gt_500,scenario
NL,54.94707254470818,727.6362509391207,18,7,flexible_2030
BE,62.42191828795612,842.5206402201142,19,11,flexible_2030
DE,73.4613024971493,135.93101773169658,0,0,flexible_2030
NL,62.00408260793866,793.0467908221112,139,67,flexible_2040
BE,70.5360984095394,738.9029352641523,138,66,flexible_2040
DE,85.15527549083113,709.494507947668,157,68,flexible_2040
NL,53.476335920616606,506.47378637502595,26,1,flexible_2050
BE,60.24608411955643,476.72535383609556,26,0,flexible_2050
DE,70.37233981306687,482.22982620981264,26,0,flexible_2050
NL,58.130692427669715,1288.925782963805,18,18,flexible-moderate_2030
BE,67.16026393900069,1421.7869921209647,21,18,flexible-moderate_2030
DE,78.06010077367444,166.01835085448573,0,0,flexible-moderate_2030
NL,64.79319660824441,1556.7695725191043,88,68,flexible-moderate_2040
BE,76.69896402867109,1649.1144180812676,89,69,flexible-moderate_2040
DE,89.04930866817153,1318.218032811862,88,68,flexible-moderate_2040
NL,51.41940037982547,188.76275389758263,0,0,flexible-moderate_2050
BE,59.24024170949197,194.10055133640702,0,0,flexible-moderate_2050
DE,68.99345403191984,195.15044853887346,0,0,flexible-moderate_2050
NL,57.31891691516534,1751.9840266672252,59,42,retro-tes_2030
BE,64.24378448380754,1684.6809436162814,58,41,retro-tes_2030
DE,75.3103220416587,889.3544759144273,58,41,retro-tes_2030
NL,58.75129230139341,242.89524445396341,0,0,retro-tes_2040
BE,67.23509542032421,240.24709786680052,0,0,retro-tes_2040
DE,81.90060852975341,257.47171083312617,0,0,retro-tes_2040
NL,50.92979430491794,180.5640499819797,0,0,retro-tes_2050
BE,58.09374084501412,180.04765113372923,0,0,retro-tes_2050
DE,68.18567401521528,197.8630328161007,0,0,retro-tes_2050
NL,110.43187697638926,10390.554835609211,118,118,rigid_2030
BE,131.21008433028197,11539.976998177339,140,128,rigid_2030
DE,131.88052496775202,8459.900297392342,131,130,rigid_2030
NL,59.306821850579226,237.42390861460626,0,0,rigid_2040
BE,73.27503343855645,237.12149441609233,0,0,rigid_2040
DE,86.43681018987681,296.5696412977586,0,0,rigid_2040
NL,54.166729055896134,215.93207737592357,0,0,rigid_2050
BE,64.83348951502342,227.1990996437267,0,0,rigid_2050
DE,75.55428531398002,230.7357668050372,0,0,rigid_2050
