country,mean,max,hours_gt_300,hours_gt_500,scenario
NL,50.647072544708166,723.3362509391206,18,7,flexible_2030
BE,55.62191828795611,835.7206402201142,19,11,flexible_2030
DE,60.16130249714931,122.63101773169657,0,0,flexible_2030
NL,57.70408260793865,788.7467908221112,137,66,flexible_2040
BE,63.73609840953941,732.1029352641524,138,66,flexible_2040
DE,71.85527549083112,696.1945079476681,148,67,flexible_2040
NL,49.17633592061659,502.17378637502594,26,1,flexible_2050
BE,53.44608411955643,469.92535383609555,26,0,flexible_2050
DE,57.07233981306686,468.92982620981263,26,0,flexible_2050
NL,53.83069242766971,1284.625782963805,18,18,flexible-moderate_2030
BE,60.36026393900068,1414.9869921209647,21,18,flexible-moderate_2030
DE,64.76010077367442,152.71835085448572,0,0,flexible-moderate_2030
NL,60.493196608244396,1552.4695725191043,88,68,flexible-moderate_2040
BE,69.89896402867109,1642.3144180812676,89,69,flexible-moderate_2040
DE,75.74930866817152,1304.918032811862,86,68,flexible-moderate_2040
NL,47.119400379825464,184.46275389758262,0,0,flexible-moderate_2050
BE,52.44024170949198,187.300551336407,0,0,flexible-moderate_2050
DE,55.69345403191983,181.85044853887345,0,0,flexible-moderate_2050
NL,53.01891691516534,1747.6840266672252,59,42,retro-tes_2030
BE,57.44378448380754,1677.8809436162815,58,41,retro-tes_2030
DE,62.010322041658696,876.0544759144274,58,41,retro-tes_2030
NL,54.4512923013934,238.5952444539634,0,0,retro-tes_2040
BE,60.43509542032421,233.4470978668005,0,0,retro-tes_2040
DE,68.60060852975342,244.17171083312616,0,0,retro-tes_2040
NL,46.62979430491793,176.2640499819797,0,0,retro-tes_2050
BE,51.29374084501412,173.24765113372922,0,0,retro-tes_2050
DE,54.88567401521526,184.5630328161007,0,0,retro-tes_2050
