h5_file,scenario_year,scenario_label,node,carrier,carrier_class,annual_import,annual_export,import_cost,export_revenue,net_cost
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL2,steam,Other carriers,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL2,syngas,Chemical products,0.0,37098.192327038734,0.0,370.9819232703873,-370.9819232703873
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,CO2,CO2,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,CO2captured,CO2,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,HBfeed,Other carriers,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,MPW,MPW,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,ammonia,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,biomass,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,crackergas,Fossil feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,cracking_byproducts,Chemical products,0.0,4704673.5143066775,0.0,2780462046.955246,-2780462046.955246
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,electricity,Electricity,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,electricity_grid,Electricity,2388775.5409528622,0.0,246124411.22280407,0.0,246124411.22280407
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,ethylene,Chemical products,0.0,73668.37857666971,0.0,736.6837857666972,-736.6837857666972
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,feedgas,Fossil feedstock,0.0,1798362.2475149243,0.0,879902680.464102,-879902680.464102
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,hydrogen,Hydrogen,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,hydrogen_transported,Hydrogen,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,methane,Fossil feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,methane_bio,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,methanol,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,naphtha,Fossil feedstock,11995597.945708001,0.0,8780777696.258255,0.0,8780777696.258255
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,naphtha_bio,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,DE,nitrogen,Other carriers,0.0,196515.0884955651,0.0,1965.1508849556508,-1965.1508849556508
