year,methane_fossil_import,methane_bio_import,methane_total_import,methane_bio_share,methane_fossil_share,naphtha_fossil_import,naphtha_bio_import,naphtha_total_import,naphtha_bio_share,naphtha_fossil_share
2020,580504.7424766131,0.0,580504.7424766131,0.0,1.0,37490829.05355832,0.0,37490829.05355832,0.0,1.0
2025,396614.040345707,0.0,396614.040345707,0.0,1.0,30451526.433438804,0.0,30451526.433438804,0.0,1.0
2030,1399861.6975954215,0.0,1399861.6975954215,0.0,1.0,27100935.827567674,0.0,27100935.827567674,0.0,1.0
2040,0.0,7503801.274020899,7503801.274020899,1.0,0.0,19341556.142884087,540000.0,19881556.142884087,0.027160851802502103,0.972839148197498
2050,0.0,16267172.729218205,16267172.729218205,1.0,0.0,8780083.858172813,810000.0,9590083.858172813,0.08446224370704598,0.915537756292954
