cluster;BEL1;BEL2;DE;NL1;NL3;NL2
BEL1;0.0;98.8;186.8;26.5;287.5;112.2
BEL2;98.8;0.0;232.7;119.8;382.8;150.2
DE;186.8;232.7;0.0;200.3;244.4;82.9
NL1;26.5;119.8;200.3;0.0;275.1;131.1
NL3;287.5;382.8;244.4;275.1;0.0;273.8
NL2;112.2;150.2;82.9;131.1;273.8;0.0
