case,h2_import_price_eur_per_kg,file,Total H2 consumption,Imported H2,Electrolytic H2 production,PEMEC H2 production,SOEC H2 production,Imported H2 share,Electrolytic H2 share,Other H2 share residual,PEMEC installed capacity,SOEC installed capacity,Total electrolysis installed capacity,Grid electricity import,DAC-derived CO2 use,rWGS output,MeOH synthesis output,MTO output,Fossil feedstock input,CO2 exported to storage,H2 network throughput,H2 input technologies
Main,,output\base_case_5_dd\2050\optimization_results.h5,1762711.7028304986,0.0,1114594.0838918844,410402.3380533124,704191.745838572,0.0,63.23178555529583,36.76821444470417,2916.1693815774224,3404.999123052285,6321.168504629708,173597395.53795227,35191068.85674465,5084774.117841833,41495016.0362864,0.0,8787298.248505304,34000000.0,32362.966280514993,"H2_network_connection_out, HBfeed_mixer, HBfeed_mixer_existing, Storage_H2, Storage_H2_existing, rWGS, rWGS_existing"
5 EUR/kgH2,5.0,output\base_case_H2_5eur_5_dd\2050\optimization_results.h5,1737764.0432935483,116442.1758173175,1013614.8847045396,381203.3793704126,632411.5053341269,6.7006896745675,58.32868326493027,34.97062706050223,2845.556726757426,3137.015114243503,5982.5718410009285,169055128.65461588,35357100.35460757,4978739.697774818,41531740.953138776,0.0,8767222.997461563,33962385.86487242,6800.329093965036,"H2_network_connection_out, HBfeed_mixer, HBfeed_mixer_existing, Storage_H2, Storage_H2_existing, rWGS, rWGS_existing"
7.5 EUR/kgH2,7.5,output\base_case_H2_7.5eur_5_dd\2050\optimization_results.h5,1752759.94477926,6787.469935426701,1132728.206958547,427370.47917413956,705357.7277844074,0.3872446968932477,64.6254046558099,34.98735064729685,3039.2388160897876,3410.817353220499,6450.056169310286,174490516.17917937,35424873.86747866,5042476.401140331,41501261.49871617,0.0,8784309.965127414,34000000.0,5352.881496502008,"H2_network_connection_out, HBfeed_mixer, HBfeed_mixer_existing, Storage_H2, Storage_H2_existing, rWGS, rWGS_existing"
10 EUR/kgH2,10.0,output\base_case_H2_10eur_5_dd\2050\optimization_results.h5,1758489.1436701126,1555.0905692103993,1140377.2561063203,434577.06295578036,705800.1931505399,0.0884333335129267,64.84983203969394,35.06173462679314,3089.1915112132215,3401.0984237936536,6490.289935006875,174924290.7087383,35427532.53682696,5066827.077742584,41503457.31075324,0.0,8783147.922939375,34000000.0,11838.84959667792,"H2_network_connection_out, HBfeed_mixer, HBfeed_mixer_existing, Storage_H2, Storage_H2_existing, rWGS, rWGS_existing"
12.5 EUR/kgH2,12.5,output\base_case_H2_12.5eur_5_dd\2050\optimization_results.h5,1759230.2285529843,0.0,1063396.278002888,458371.64995939314,605024.6280434948,0.0,60.44668064154178,39.55331935845822,3253.7867378336587,2920.9414164276923,6174.728154261351,172391195.91798913,34752698.263389975,5069976.925998627,41508469.95552469,0.0,8780436.646411171,34000000.0,110331.49007502272,"H2_network_connection_out, HBfeed_mixer, HBfeed_mixer_existing, Storage_H2, Storage_H2_existing, rWGS, rWGS_existing"
