node,scenario_year,scenario_label,technology_class,annual_cost
NL2,2025,Today opt.,Network connection,16085320.694012536
NL2,2025,Today opt.,Others,45352436.02032063
NL2,2030,2030,Conventional,516546488.407356
NL2,2030,2030,Electrification,1470110.719836213
NL2,2030,2030,Electrolysis,29099003.966887362
NL2,2030,2030,MPW,4411211.1980177555
NL2,2030,2030,Network connection,18723941.205284342
NL2,2030,2030,Others,36561562.93558268
NL2,2030,2030,Storage,0.00040369316725488475
NL2,2040,2040,Bio,101289.2324174826
NL2,2040,2040,Conventional,269319507.76939404
NL2,2040,2040,Electrification,229312131.45277083
NL2,2040,2040,Electrolysis,17863384.520817123
NL2,2040,2040,MPW,4102228.661072818
NL2,2040,2040,Network connection,44126092.769483395
NL2,2040,2040,Others,81861988.75140686
NL2,2040,2040,Storage,7.458389903557292
NL2,2050,2050,Bio,62188.72311360254
NL2,2050,2050,Conventional,131835323.82325643
NL2,2050,2050,Electrification,255248353.7236464
NL2,2050,2050,Electrolysis,90558620.43086393
NL2,2050,2050,MPW,2518517.3100493015
NL2,2050,2050,Network connection,67809694.61787704
NL2,2050,2050,Others,69791051.22524713
NL2,2050,2050,Storage,3.1616145346815103
NL3,2020,Today,Conventional,180555243.52890486
NL3,2020,Today,Electrification,944952.6418570667
NL3,2020,Today,Network connection,6489283.4621257195
NL3,2020,Today,Others,45.44917933457283
NL3,2025,Today opt.,Bio,497827.39602977515
NL3,2025,Today opt.,Conventional,180566027.24858811
NL3,2025,Today opt.,Electrification,3117323.7635414964
NL3,2025,Today opt.,MPW,9309090.565274328
NL3,2025,Today opt.,Network connection,5988058.945974617
NL3,2025,Today opt.,Others,47.27040157822307
NL3,2030,2030,Bio,390241.2466672014
NL3,2030,2030,Conventional,141478207.12452552
NL3,2030,2030,Electrification,2442393.4212257387
NL3,2030,2030,MPW,7439674.8807998765
NL3,2030,2030,Network connection,4700100.781214323
NL3,2030,2030,Others,37.04457210531166
NL3,2040,2040,Bio,239574.27340726354
NL3,2040,2040,Conventional,19465025.046056945
NL3,2040,2040,DAC,34550112.630738996
NL3,2040,2040,Electrification,50685583.42997351
NL3,2040,2040,MPW,4568123.692785436
NL3,2040,2040,Network connection,9223657.084464073
NL3,2040,2040,Others,24.030928128100612
NL3,2050,2050,Bio,147077.82165211652
NL3,2050,2050,Conventional,11949836.856277185
NL3,2050,2050,DAC,347566047.901584
NL3,2050,2050,Electrification,35632671.77175915
NL3,2050,2050,MPW,2804431.6788145346
NL3,2050,2050,Network connection,25114393.435148057
NL3,2050,2050,Others,27.503012156276192
NL3,2050,2050,Storage,0.17450480769904628
NL4,2020,Today,Conventional,438508911.3954885
NL4,2020,Today,Electrification,862280.058297137
NL4,2020,Today,Network connection,9950330.623433502
NL4,2020,Today,Others,103.42429450405226
NL4,2025,Today opt.,Conventional,705704072.2855026
NL4,2025,Today opt.,Electrification,7746289.6229969375
NL4,2025,Today opt.,MPW,15001427.829338811
NL4,2025,Today opt.,Network connection,21165738.42488068
NL4,2025,Today opt.,Others,69784035.42144339
NL4,2030,2030,Bio,463125.4884137977
NL4,2030,2030,Conventional,496122701.08532566
NL4,2030,2030,Electrification,12367595.196520083
NL4,2030,2030,MPW,23548534.422212735
NL4,2030,2030,Network connection,26125355.0286267
