node,component,capex_tot,opex_fixed,opex_variable,annual_cost_undiscounted,scenario_year,intertemporal_discount_factor,annual_cost,scenario_label,h5_file
DE,OlefinSeparation,159660519.09006074,136347224.59522185,0.0,296007743.6852826,2020,1.0,296007743.6852826,Today,output\base_case_5_dd\2020\optimization_results.h5
DE,SteamReformer,52871898.60979941,22575827.373014253,0.0,75447725.98281366,2020,1.0,75447725.98281366,Today,output\base_case_5_dd\2020\optimization_results.h5
DE,WGS_syngas,1.9012472937669604,0.7915201842647591,0.0,2.6927674780317195,2020,1.0,2.6927674780317195,Today,output\base_case_5_dd\2020\optimization_results.h5
DE,electricity_grid_connection_DE,294.5065735421333,19707398.212861113,0.0,19707692.719434656,2020,1.0,19707692.719434656,Today,output\base_case_5_dd\2020\optimization_results.h5
DE,feedgas_mixer,216.79323271041733,0.0,0.0,216.79323271041733,2020,1.0,216.79323271041733,Today,output\base_case_5_dd\2020\optimization_results.h5
DE,naphtha_mixer,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL1,Boiler_El,3309392.357680041,353270.2273845992,0.0,3662662.5850646403,2020,1.0,3662662.5850646403,Today,output\base_case_5_dd\2020\optimization_results.h5
NL1,CO2_mixer,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL1,CO2toEmissions,19.13125061183559,0.0,0.0,19.13125061183559,2020,1.0,19.13125061183559,Today,output\base_case_5_dd\2020\optimization_results.h5
NL1,CrackerFurnace,182968495.29417753,156251818.94625345,-0.0,339220314.24043095,2020,1.0,339220314.24043095,Today,output\base_case_5_dd\2020\optimization_results.h5
NL1,HBfeed_mixer,35.96187016582556,0.0,0.0,35.96187016582556,2020,1.0,35.96187016582556,Today,output\base_case_5_dd\2020\optimization_results.h5
NL1,HBfeed_splitter,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL1,HaberBosch,69082752.58855166,28022831.050228234,0.0,97105583.6387799,2020,1.0,97105583.6387799,Today,output\base_case_5_dd\2020\optimization_results.h5
NL1,MeOHsynthesis,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL1,OlefinSeparation,86910007.33342768,74219590.14663461,0.0,161129597.4800623,2020,1.0,161129597.4800623,Today,output\base_case_5_dd\2020\optimization_results.h5
NL1,SteamReformer,170619283.8665802,72852906.74932024,0.0,243472190.61590043,2020,1.0,243472190.61590043,Today,output\base_case_5_dd\2020\optimization_results.h5
NL1,WGS_syngas,13.913636808607704,5.79247339714661,0.0,19.706110205754314,2020,1.0,19.706110205754314,Today,output\base_case_5_dd\2020\optimization_results.h5
NL1,electricity_grid_connection_NL,328.1606247605988,27908845.72616763,0.0,27909173.88679239,2020,1.0,27909173.88679239,Today,output\base_case_5_dd\2020\optimization_results.h5
NL1,feedgas_mixer,118.00977193411089,0.0,0.0,118.00977193411089,2020,1.0,118.00977193411089,Today,output\base_case_5_dd\2020\optimization_results.h5
NL1,naphtha_mixer,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL2,Boiler_El,1374875.0661274658,146764.83618181624,0.0,1521639.902309282,2020,1.0,1521639.902309282,Today,output\base_case_5_dd\2020\optimization_results.h5
NL2,CO2_mixer,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL2,CO2toEmissions,5.537993598162915,0.0,0.0,5.537993598162915,2020,1.0,5.537993598162915,Today,output\base_case_5_dd\2020\optimization_results.h5
NL2,CrackerFurnace,138768240.813,118505593.02103508,-0.0,257273833.83403507,2020,1.0,257273833.83403507,Today,output\base_case_5_dd\2020\optimization_results.h5
NL2,HBfeed_mixer,10.410015048001974,0.0,0.0,10.410015048001974,2020,1.0,10.410015048001974,Today,output\base_case_5_dd\2020\optimization_results.h5
NL2,HBfeed_splitter,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL2,HaberBosch,19997638.90721225,8111872.146118672,0.0,28109511.05333092,2020,1.0,28109511.05333092,Today,output\base_case_5_dd\2020\optimization_results.h5
NL2,MeOHsynthesis,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
