node,scenario_year,scenario_label,carrier_class,net_cost
NL2,2050,2050,MPW,5249999.999999999
NL3,2020,Today,Electricity,56784471.806240365
NL3,2020,Today,Fossil feedstock,437154999.99999285
NL3,2020,Today,Hydrogen,-531.2499999999914
NL3,2020,Today,Other carriers,-8997.249999999854
NL3,2025,Today opt.,Bio feedstock,135362.95071724686
NL3,2025,Today opt.,Electricity,52439472.9304702
NL3,2025,Today opt.,Fossil feedstock,262314724.032
NL3,2025,Today opt.,Hydrogen,-3.966399951774864
NL3,2025,Today opt.,MPW,35376250.0
NL3,2025,Today opt.,Other carriers,-5398.797110400001
NL3,2030,2030,Bio feedstock,189931.95828710776
NL3,2030,2030,Electricity,30795384.19823049
NL3,2030,2030,Fossil feedstock,262852367.9286331
NL3,2030,2030,MPW,74497500.0
NL3,2030,2030,Other carriers,-5409.862559837802
NL3,2040,2040,Bio feedstock,502107167.59323263
NL3,2040,2040,Electricity,34908435.46073873
NL3,2040,2040,MPW,13499999.999999996
NL3,2040,2040,Other carriers,-5797.008166714011
NL3,2050,2050,Bio feedstock,1741003512.0861776
NL3,2050,2050,Electricity,1734667524.612453
NL3,2050,2050,MPW,5249999.999999999
NL4,2020,Today,Chemical products,-1326466559.2589877
NL4,2020,Today,Electricity,87070363.32236944
NL4,2020,Today,Fossil feedstock,3691599222.303741
NL4,2025,Today opt.,Bio feedstock,135362.95071724686
NL4,2025,Today opt.,Chemical products,-814150522.8272849
NL4,2025,Today opt.,Electricity,185210783.88093907
NL4,2025,Today opt.,Fossil feedstock,2571098063.6550083
NL4,2025,Today opt.,MPW,35376250.0
NL4,2025,Today opt.,Other carriers,-12566.522780437754
NL4,2030,2030,Bio feedstock,189931.95828710776
NL4,2030,2030,Chemical products,-276811510.31208915
NL4,2030,2030,Electricity,171214606.1783406
NL4,2030,2030,Fossil feedstock,1899491359.1993933
NL4,2030,2030,MPW,74497500.0
NL4,2030,2030,Other carriers,-25374.987990620764
NL4,2040,2040,Bio feedstock,3397591209.8822713
NL4,2040,2040,CO2,707223806.921844
NL4,2040,2040,Chemical products,-225061772.7734622
NL4,2040,2040,Electricity,796251031.6667278
NL4,2040,2040,Fossil feedstock,622910238.7348119
NL4,2040,2040,MPW,13499999.999999996
NL4,2040,2040,Other carriers,-25375.01404405954
NL4,2050,2050,Bio feedstock,4820410495.073921
NL4,2050,2050,CO2,1078000000.0000002
NL4,2050,2050,Chemical products,-41985236.81120788
NL4,2050,2050,Electricity,1843648641.8749514
NL4,2050,2050,Fossil feedstock,825127.8099880484
NL4,2050,2050,MPW,5249999.999999999
