snapshot,NL,BE,DE
2013-01-01 00:00:00,3.420177569100561e-07,1.3325984345395701e-06,7.881388120025823e-07
2013-01-01 01:00:00,3.6277160149602164e-07,1.35103270585827e-06,7.980125043793333e-07
2013-01-01 02:00:00,3.789762437777578e-07,1.305528199527534e-06,8.422932338529444e-07
2013-01-01 03:00:00,3.9482842666826675e-07,1.1355988677201288e-06,8.688158654047664e-07
2013-01-01 04:00:00,4.723993770502501e-07,1.2062361492956237e-06,9.050619424024375e-07
2013-01-01 05:00:00,5.228824724828445e-07,1.2385837639860378e-06,9.459296860408718e-07
2013-01-01 06:00:00,5.56527427139046e-07,1.3083698775503966e-06,9.836899508871772e-07
2013-01-01 07:00:00,5.4231868048432e-07,1.271328042031957e-06,1.0636122756828206e-06
2013-01-01 08:00:00,5.32103744430091e-07,1.197855596976818e-06,9.85849706957446e-07
2013-01-01 09:00:00,4.851764165813302e-07,8.770194440057348e-07,8.609490898554338e-07
2013-01-01 10:00:00,4.950895697100927e-07,8.447111428323673e-07,8.502355195082055e-07
2013-01-01 11:00:00,4.732307690877955e-07,7.440581630343659e-07,8.942462956668488e-07
2013-01-01 12:00:00,4.3496463507829814e-07,7.115628725433688e-07,9.9508252784397e-07
2013-01-01 13:00:00,4.2570272145202313e-07,6.94106621580321e-07,1.2249350841278822e-06
2013-01-01 14:00:00,5.036421579986118e-07,8.03816602041555e-07,1.2427215708516208e-06
2013-01-01 15:00:00,4.496683305979709e-07,1.6432764720487126e-06,1.5300711453689172e-06
2013-01-01 16:00:00,4.3238551220317726e-07,1.7175782093141947e-06,1.6276402079844337e-06
2013-01-01 17:00:00,4.3048407815361413e-07,1.668135946250806e-06,1.6195150126659012e-06
2013-01-01 18:00:00,4.3389889622040057e-07,1.6939451254093307e-06,1.5730325817208406e-06
2013-01-01 19:00:00,4.423081760052693e-07,1.761846188240054e-06,1.5458678251995141e-06
2013-01-01 20:00:00,4.542055191831278e-07,1.8277109739397149e-06,1.581531027168883e-06
2013-01-01 21:00:00,4.6604901535352397e-07,1.9639097947873642e-06,1.5108814588129169e-06
2013-01-01 22:00:00,4.7377425996401575e-07,2.1073834222899654e-06,1.4245012731440508e-06
2013-01-01 23:00:00,4.830430499745148e-07,2.2412079925671313e-06,1.436471584043947e-06
2013-01-02 00:00:00,4.923397679290106e-07,2.2250316084488785e-06,1.4359217839953974e-06
2013-01-02 01:00:00,4.931682106580394e-07,2.2658206186654795e-06,1.4206075475022928e-06
2013-01-02 02:00:00,4.91451774534702e-07,2.2202808361520904e-06,1.4458605824732173e-06
2013-01-02 03:00:00,4.805297402862326e-07,2.0296368119973244e-06,1.6741825630197157e-06
2013-01-02 04:00:00,4.804832209366129e-07,1.9728718387890886e-06,1.6694833449528155e-06
2013-01-02 05:00:00,4.6002396513242984e-07,1.7807030888560917e-06,1.6170259315886427e-06
2013-01-02 06:00:00,4.565687154263316e-07,1.7444685041745827e-06,1.6236309278487824e-06
2013-01-02 07:00:00,4.438772271917311e-07,1.7019549047306609e-06,1.6572679794248503e-06
2013-01-02 08:00:00,4.767833980196397e-07,1.7839276131858999e-06,1.5079775071418431e-06
2013-01-02 09:00:00,5.274012983896836e-07,2.0465643482856444e-06,1.3248708706692505e-06
2013-01-02 10:00:00,5.302591638002227e-07,1.5352093404798341e-06,1.0800069186108555e-06
2013-01-02 11:00:00,5.617666209299215e-07,1.5420965854591702e-06,1.068210471818707e-06
2013-01-02 12:00:00,5.366229521237588e-07,1.7641706249172345e-06,1.2699923011521602e-06
2013-01-02 13:00:00,5.067743155553651e-07,1.8841855056766624e-06,1.3897369164128092e-06
2013-01-02 14:00:00,4.775172264635979e-07,1.6909776360203057e-06,1.6614550789918182e-06
2013-01-02 15:00:00,4.7063273613677846e-07,1.5913826708939448e-06,1.748219979185384e-06
2013-01-02 16:00:00,4.3662630446126127e-07,1.6598709484606763e-06,1.7483129332682685e-06
2013-01-02 17:00:00,4.358256705342114e-07,1.696190456685589e-06,1.7265338036362287e-06
2013-01-02 18:00:00,4.395094759311556e-07,1.8353085762535513e-06,1.6813233168977065e-06
2013-01-02 19:00:00,4.5046010512399994e-07,1.973618519486284e-06,1.6589323169991698e-06
2013-01-02 20:00:00,4.6987029478623516e-07,1.92780631162942e-06,1.6190986315290791e-06
2013-01-02 21:00:00,4.7364389200779893e-07,1.3274804534789807e-06,1.6305684085355112e-06
2013-01-02 22:00:00,4.290271651863568e-07,1.1933226728807736e-06,1.2484663385787262e-06
2013-01-02 23:00:00,4.288028876776576e-07,1.2074684344663212e-06,1.1765683892420783e-06
2013-01-03 00:00:00,4.292554925069128e-07,1.2169942173215096e-06,1.1151680853859193e-06
2013-01-03 01:00:00,4.300866894265613e-07,1.2223188515327192e-06,1.065183636398299e-06
2013-01-03 02:00:00,4.3229317185464394e-07,1.2181714454422004e-06,1.0613503205777064e-06
2013-01-03 03:00:00,4.347597906945831e-07,1.2106464559684373e-06,1.0828040784206448e-06
2013-01-03 04:00:00,4.3963928918941303e-07,1.2172399307033916e-06,1.1570679591441415e-06
2013-01-03 05:00:00,4.415597902875833e-07,1.2253876249229772e-06,1.1218470463141037e-06
2013-01-03 06:00:00,4.416300458063613e-07,1.237754895855736e-06,1.1004796135797421e-06
2013-01-03 07:00:00,4.4434849352332614e-07,1.265427110023008e-06,1.0876231307137864e-06
2013-01-03 08:00:00,4.52323004398952e-07,1.3601518650594286e-06,9.09856571086534e-07
2013-01-03 09:00:00,4.3203981110762655e-07,1.1765771926044177e-06,9.054612957411167e-07
2013-01-03 10:00:00,4.3573517342552153e-07,2.133359134553535e-06,1.024569598900947e-06
2013-01-03 11:00:00,4.3318461645572165e-07,1.927911836625181e-06,1.022380439798102e-06
2013-01-03 12:00:00,4.347238676527417e-07,1.6182651204240826e-06,1.0263032556549166e-06
2013-01-03 13:00:00,4.416963679015499e-07,1.98728048339968e-06,1.028587681152937e-06
2013-01-03 14:00:00,4.478968989674974e-07,1.9028675355752568e-06,1.0886541011208048e-06
2013-01-03 15:00:00,4.542587130890389e-07,1.6408496604837295e-06,1.0907414080120379e-06
2013-01-03 16:00:00,4.718353271897844e-07,1.6080825532939217e-06,1.0845468470388226e-06
2013-01-03 17:00:00,4.941875567493337e-07,1.6513420167559074e-06,1.1210707295064803e-06
2013-01-03 18:00:00,5.120279209157044e-07,1.6949739720477236e-06,1.152942221773909e-06
2013-01-03 19:00:00,5.22632537799592e-07,1.7901666191458565e-06,1.1867492104637978e-06
2013-01-03 20:00:00,5.372585506478459e-07,1.9242295916556666e-06,1.197036387206988e-06
2013-01-03 21:00:00,5.39870643872417e-07,2.117568314928891e-06,1.1874985703368677e-06
2013-01-03 22:00:00,5.396732768867175e-07,2.2729074749869968e-06,1.1980215018917954e-06
2013-01-03 23:00:00,5.338423903670538e-07,2.379470025884355e-06,1.1828770692724366e-06
2013-01-04 00:00:00,5.382067969092965e-07,2.4279737831591517e-06,1.1598558615521496e-06
2013-01-04 01:00:00,5.315243277763849e-07,2.4676603335618383e-06,1.1726360118875193e-06
2013-01-04 02:00:00,5.088030213104927e-07,2.4475807431003452e-06,1.207860394394889e-06
2013-01-04 03:00:00,4.965210055823207e-07,2.2735601047377516e-06,1.2092291058221022e-06
2013-01-04 04:00:00,5.089888093210711e-07,1.9891771869277183e-06,1.24228798875177e-06
2013-01-04 05:00:00,4.968235403636942e-07,1.8425987638764557e-06,1.203110661212289e-06
2013-01-04 06:00:00,4.838645294314461e-07,1.8962150149399084e-06,1.1667207819280816e-06
2013-01-04 07:00:00,4.837679656526101e-07,1.829320522804955e-06,1.14908036272998e-06
2013-01-04 08:00:00,4.855720450712701e-07,1.8352381008469016e-06,1.098373642716215e-06
2013-01-04 09:00:00,4.877758782181785e-07,1.929182301768962e-06,1.0661101808078337e-06
2013-01-04 10:00:00,4.93837057489781e-07,1.946339886926245e-06,1.1047691864387785e-06
2013-01-04 11:00:00,4.839600262763881e-07,1.934006138578227e-06,1.0263329553250546e-06
2013-01-04 12:00:00,4.822965702917162e-07,1.8960366249587693e-06,9.871318548554687e-07
2013-01-04 13:00:00,4.831727366212034e-07,1.8690423350602301e-06,9.64538343612455e-07
2013-01-04 14:00:00,4.817060313119817e-07,1.968738585618508e-06,9.79624249292105e-07
2013-01-04 15:00:00,5.037220274255133e-07,1.9244162965485605e-06,9.92707665035535e-07
2013-01-04 16:00:00,4.980726760609065e-07,1.8954665663665323e-06,9.728877094794236e-07
2013-01-04 17:00:00,4.898826535704765e-07,1.9101614831482253e-06,9.661610688101105e-07
2013-01-04 18:00:00,4.915622594993819e-07,1.9705976639634817e-06,9.78008827338165e-07
2013-01-04 19:00:00,5.001872964255235e-07,2.08253592687888e-06,9.835396886092786e-07
2013-01-04 20:00:00,5.178313052456545e-07,2.261557451541705e-06,9.94441282521523e-07
2013-01-04 21:00:00,5.311574455111239e-07,2.4749302024553745e-06,1.009694599777382e-06
2013-01-04 22:00:00,5.826339056903617e-07,4.215470113403569e-06,1.1128655732620332e-06
2013-01-04 23:00:00,6.308917941539201e-07,3.506153986579071e-06,1.0911533854178289e-06
2013-01-05 00:00:00,6.475759532727452e-07,2.782133151035532e-06,1.094092099159184e-06
2013-01-05 01:00:00,6.299518274791215e-07,2.5057664470206326e-06,1.1148243520587804e-06
2013-01-05 02:00:00,6.463514027903083e-07,2.4528846195976466e-06,1.2229745160907376e-06
2013-01-05 03:00:00,7.105825065791146e-07,2.3487704898784132e-06,1.266090170073632e-06
2013-01-05 04:00:00,8.425509689986562e-07,2.269271691348406e-06,1.4921916394136635e-06
2013-01-05 05:00:00,1.0450954149124136e-06,2.3757625076078226e-06,1.6769276163016689e-06
2013-01-05 06:00:00,1.238041876606255e-06,2.385838618053999e-06,2.0159673355072864e-06
2013-01-05 07:00:00,1.325087778373926e-06,2.444294845344505e-06,2.3023868062955463e-06
2013-01-05 08:00:00,1.2704954247819227e-06,2.4488519664712125e-06,2.1298128896384354e-06
2013-01-05 09:00:00,1.2676770412246632e-06,2.33587403758489e-06,2.164907016420475e-06
2013-01-05 10:00:00,1.219060677147931e-06,2.3798243465804243e-06,2.518247957734195e-06
2013-01-05 11:00:00,1.2426652785693256e-06,2.3426305502570587e-06,2.3939082603602808e-06
2013-01-05 12:00:00,1.232257535781316e-06,2.3124526499037214e-06,2.3254848855146756e-06
2013-01-05 13:00:00,1.1224672904788338e-06,2.3321949641423217e-06,2.54357756817354e-06
