Unnamed: 0;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production,Demand,Import limit,Export limit,Import price,Export price
2022-06-01 17:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,41.89,0.01
2022-06-01 18:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,54.0,0.01
2022-06-01 19:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,64.78,0.01
2022-06-01 20:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,66.69,0.01
2022-06-01 21:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,63.26,0.01
2022-06-01 22:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,65.31,0.01
2022-06-01 23:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,55.62,0.01
2022-06-02 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,30.62,0.01
2022-06-02 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,23.92,0.01
2022-06-02 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,12.03,0.01
2022-06-02 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,5.0,0.01
2022-06-02 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,8.92,0.01
2022-06-02 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,5.17,0.01
2022-06-02 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,4.91,0.01
2022-06-02 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,4.11,0.01
2022-06-02 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,0.97,0.01
2022-06-02 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,0.01,0.01
2022-06-02 10:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,0.01,0.01
