uid;GAPTBEL0001;GAPTBEL0002;GAPTBEL0003;GAPTBEL0004;GAPTBEL0005;GAPTBEL0006;GAPTBEL0007;GAPTDEU0006;GAPTDEU0007;GAPTDEU0008;GAPTDEU0009;GAPTDEU0011;GAPTDEU0012;GAPTDEU0013;GAPTDEU0014;GAPTDEU0015;GAPTDEU0019;GAPTDEU0020;GAPTDEU0021;GAPTDEU0030;GAPTDEU0031;GAPTDEU0032;GAPTDEU0033;GAPTDEU0034;GAPTDEU0035;GAPTDEU0036;GAPTNLD0001;GAPTNLD0002;GAPTNLD0003;GAPTNLD0004;GAPTNLD0005;GAPTNLD0006;GAPTNLD0007;GAPTNLD0008;GAPTNLD0009;GAPTNLD0010;GAPTNLD0011;GAPTNLD0012;GAPTNLD0013;GAPTNLD0014;GAPTNLD0015
GAPTDEU0031;197.6;197.6;197.6;197.6;195.0;190.1;228.4;83.1;83.1;83.1;83.1;25.8;25.8;25.8;25.8;25.8;2.6;2.6;2.6;0.0;0.0;0.0;0.0;0.0;4.9;4.9;229.9;229.9;229.9;229.9;273.1;191.8;191.8;191.8;191.8;215.7;84.3;84.3;84.3;84.3;223.7
GAPTDEU0032;197.6;197.6;197.6;197.6;195.0;190.1;228.4;83.1;83.1;83.1;83.1;25.8;25.8;25.8;25.8;25.8;2.6;2.6;2.6;0.0;0.0;0.0;0.0;0.0;4.9;4.9;229.9;229.9;229.9;229.9;273.1;191.8;191.8;191.8;191.8;215.7;84.3;84.3;84.3;84.3;223.7
GAPTDEU0033;197.6;197.6;197.6;197.6;195.0;190.1;228.4;83.1;83.1;83.1;83.1;25.8;25.8;25.8;25.8;25.8;2.6;2.6;2.6;0.0;0.0;0.0;0.0;0.0;4.9;4.9;229.9;229.9;229.9;229.9;273.1;191.8;191.8;191.8;191.8;215.7;84.3;84.3;84.3;84.3;223.7
GAPTDEU0034;197.6;197.6;197.6;197.6;195.0;190.1;228.4;83.1;83.1;83.1;83.1;25.8;25.8;25.8;25.8;25.8;2.6;2.6;2.6;0.0;0.0;0.0;0.0;0.0;4.9;4.9;229.9;229.9;229.9;229.9;273.1;191.8;191.8;191.8;191.8;215.7;84.3;84.3;84.3;84.3;223.7
GAPTDEU0035;200.6;200.6;200.6;200.6;197.8;192.8;229.3;87.7;87.7;87.7;87.7;30.7;30.7;30.7;30.7;30.7;3.9;3.9;3.9;4.9;4.9;4.9;4.9;4.9;0.0;0.0;232.6;232.6;232.6;232.6;277.8;195.5;195.5;195.5;195.5;219.6;86.6;86.6;86.6;86.6;226.4
GAPTDEU0036;200.6;200.6;200.6;200.6;197.8;192.8;229.3;87.7;87.7;87.7;87.7;30.7;30.7;30.7;30.7;30.7;3.9;3.9;3.9;4.9;4.9;4.9;4.9;4.9;0.0;0.0;232.6;232.6;232.6;232.6;277.8;195.5;195.5;195.5;195.5;219.6;86.6;86.6;86.6;86.6;226.4
GAPTNLD0001;33.9;33.9;33.9;33.9;34.9;39.8;95.8;226.3;226.3;226.3;226.3;215.1;215.1;215.1;215.1;215.1;229.1;229.1;229.1;229.9;229.9;229.9;229.9;229.9;232.6;232.6;0.0;0.0;0.0;0.0;308.1;66.1;66.1;66.1;66.1;71.4;146.5;146.5;146.5;146.5;8.7
GAPTNLD0002;33.9;33.9;33.9;33.9;34.9;39.8;95.8;226.3;226.3;226.3;226.3;215.1;215.1;215.1;215.1;215.1;229.1;229.1;229.1;229.9;229.9;229.9;229.9;229.9;232.6;232.6;0.0;0.0;0.0;0.0;308.1;66.1;66.1;66.1;66.1;71.4;146.5;146.5;146.5;146.5;8.7
GAPTNLD0003;33.9;33.9;33.9;33.9;34.9;39.8;95.8;226.3;226.3;226.3;226.3;215.1;215.1;215.1;215.1;215.1;229.1;229.1;229.1;229.9;229.9;229.9;229.9;229.9;232.6;232.6;0.0;0.0;0.0;0.0;308.1;66.1;66.1;66.1;66.1;71.4;146.5;146.5;146.5;146.5;8.7
GAPTNLD0004;33.9;33.9;33.9;33.9;34.9;39.8;95.8;226.3;226.3;226.3;226.3;215.1;215.1;215.1;215.1;215.1;229.1;229.1;229.1;229.9;229.9;229.9;229.9;229.9;232.6;232.6;0.0;0.0;0.0;0.0;308.1;66.1;66.1;66.1;66.1;71.4;146.5;146.5;146.5;146.5;8.7
GAPTNLD0005;283.9;283.9;283.9;283.9;292.0;290.4;382.8;190.2;190.2;190.2;190.2;249.5;249.5;249.5;249.5;249.5;275.3;275.3;275.3;273.1;273.1;273.1;273.1;273.1;277.8;277.8;308.1;308.1;308.1;308.1;0.0;243.6;243.6;243.6;243.6;238.3;273.8;273.8;273.8;273.8;310.2
GAPTNLD0006;41.0;41.0;41.0;41.0;50.3;50.1;144.2;169.9;169.9;169.9;169.9;172.1;172.1;172.1;172.1;172.1;191.6;191.6;191.6;191.8;191.8;191.8;191.8;191.8;195.5;195.5;66.1;66.1;66.1;66.1;243.6;0.0;0.0;0.0;0.0;26.6;117.4;117.4;117.4;117.4;67.0
GAPTNLD0007;41.0;41.0;41.0;41.0;50.3;50.1;144.2;169.9;169.9;169.9;169.9;172.1;172.1;172.1;172.1;172.1;191.6;191.6;191.6;191.8;191.8;191.8;191.8;191.8;195.5;195.5;66.1;66.1;66.1;66.1;243.6;0.0;0.0;0.0;0.0;26.6;117.4;117.4;117.4;117.4;67.0
GAPTNLD0008;41.0;41.0;41.0;41.0;50.3;50.1;144.2;169.9;169.9;169.9;169.9;172.1;172.1;172.1;172.1;172.1;191.6;191.6;191.6;191.8;191.8;191.8;191.8;191.8;195.5;195.5;66.1;66.1;66.1;66.1;243.6;0.0;0.0;0.0;0.0;26.6;117.4;117.4;117.4;117.4;67.0
GAPTNLD0009;41.0;41.0;41.0;41.0;50.3;50.1;144.2;169.9;169.9;169.9;169.9;172.1;172.1;172.1;172.1;172.1;191.6;191.6;191.6;191.8;191.8;191.8;191.8;191.8;195.5;195.5;66.1;66.1;66.1;66.1;243.6;0.0;0.0;0.0;0.0;26.6;117.4;117.4;117.4;117.4;67.0
GAPTNLD0010;57.8;57.8;57.8;57.8;68.1;69.5;160.4;187.0;187.0;187.0;187.0;194.9;194.9;194.9;194.9;194.9;215.6;215.6;215.6;215.7;215.7;215.7;215.7;215.7;219.6;219.6;71.4;71.4;71.4;71.4;238.3;26.6;26.6;26.6;26.6;0.0;143.5;143.5;143.5;143.5;75.4
GAPTNLD0011;115.3;115.3;115.3;115.3;111.7;106.7;150.2;111.6;111.6;111.6;111.6;74.3;74.3;74.3;74.3;74.3;83.2;83.2;83.2;84.3;84.3;84.3;84.3;84.3;86.6;86.6;146.5;146.5;146.5;146.5;273.8;117.4;117.4;117.4;117.4;143.5;0.0;0.0;0.0;0.0;140.0
GAPTNLD0012;115.3;115.3;115.3;115.3;111.7;106.7;150.2;111.6;111.6;111.6;111.6;74.3;74.3;74.3;74.3;74.3;83.2;83.2;83.2;84.3;84.3;84.3;84.3;84.3;86.6;86.6;146.5;146.5;146.5;146.5;273.8;117.4;117.4;117.4;117.4;143.5;0.0;0.0;0.0;0.0;140.0
GAPTNLD0013;115.3;115.3;115.3;115.3;111.7;106.7;150.2;111.6;111.6;111.6;111.6;74.3;74.3;74.3;74.3;74.3;83.2;83.2;83.2;84.3;84.3;84.3;84.3;84.3;86.6;86.6;146.5;146.5;146.5;146.5;273.8;117.4;117.4;117.4;117.4;143.5;0.0;0.0;0.0;0.0;140.0
GAPTNLD0014;115.3;115.3;115.3;115.3;111.7;106.7;150.2;111.6;111.6;111.6;111.6;74.3;74.3;74.3;74.3;74.3;83.2;83.2;83.2;84.3;84.3;84.3;84.3;84.3;86.6;86.6;146.5;146.5;146.5;146.5;273.8;117.4;117.4;117.4;117.4;143.5;0.0;0.0;0.0;0.0;140.0
GAPTNLD0015;30.7;30.7;30.7;30.7;29.2;34.0;88.6;222.8;222.8;222.8;222.8;209.6;209.6;209.6;209.6;209.6;222.9;222.9;222.9;223.7;223.7;223.7;223.7;223.7;226.4;226.4;8.7;8.7;8.7;8.7;310.2;67.0;67.0;67.0;67.0;75.4;140.0;140.0;140.0;140.0;0.0
