cluster,country,latitude,longitude,altitude,Ethylene,Propylene,Ammonia,Methanol
BEL1,Belgium,51.314125,4.287865,0.0,,,,
BEL2,Belgium,50.480814,3.798853,0.0,,,,
DE,Germany,51.118093,6.952304,0.0,,,,
NL1,Netherlands,51.535718,4.148205,0.0,,,,
NL3,Netherlands,53.316018,6.966324,0.0,,,,
NL2,Netherlands,50.960857,5.793541,0.0,,,,
