;BEL1;BEL2;DE;NL1;NL3;NL2
BEL1;0;1000000;1000000;1000000;1000000;1000000
BEL2;1000000;0;1000000;1000000;1000000;1000000
DE;1000000;1000000;0;1000000;1000000;1000000
NL1;1000000;1000000;1000000;0;1000000;1000000
NL3;1000000;1000000;1000000;1000000;0;1000000
NL2;1000000;1000000;1000000;1000000;1000000;0
