cluster,country,latitude,longitude,altitude,ammonia,ethylene,propylene,methanol
BEL1,Belgium,51.314125,4.287865,0.0,0.0,2180.0,1130.0,0.0
BEL2,Belgium,50.480814,3.798853,0.0,400.0,0.0,0.0,0.0
DE,Germany,51.143939,6.94908,0.0,350.0,3555.0,1635.0,280.0
NL1,Netherlands,51.320611,3.805967,0.0,1900.0,1825.0,890.0,0.0
NL3,Netherlands,53.316018,6.966324,0.0,0.0,0.0,0.0,850.0
NL4,Netherlands,51.750826,4.490443,0.0,0.0,971.0,780.0,0.0
NL2,Netherlands,50.960857,5.793541,0.0,0.0,1250.0,675.0,0.0
